COUNTYFIPS,NAMELSAD,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities,Physical Inactivity Percentage,Obesity Percentage,Limited Access To Healthy Foods
20177,Shawnee County,Kansas,10,84.85224859,21.5,36.4,10.77915
21005,Anderson County,Kentucky,9.6,65.431119,20.1,27.3,2.332539644
48233,Hutchinson County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
46121,Todd County,South Dakota,15.9,49.73990845,23.8,37.9,12.29000647
46115,Spink County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6075,San Francisco County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10001,Kent County,Delaware,12.4,51.39178116,29.7,38.6,6.497528899
20103,Leavenworth County,Kansas,11.1,79.70273,22.6,34.6,11.01280624
20071,Greeley County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26099,Macomb County,Michigan,10.2,87.43653223,22.8,31.4,5.852577266
31095,Jefferson County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35003,Catron County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31055,Douglas County,Nebraska,9.5,96.56224014,21,31.5,2.328839571
37065,Edgecombe County,North Carolina,9.6,48.90366389,16.3,20.6,9.558917154
48111,Dallam County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1133,Winston County,Alabama,10.2,75.80460709,20.2,26.4,1.694508531
12041,Gilchrist County,Florida,10.6,30.2851408,30,33.2,0.073040894
13089,DeKalb County,Georgia,11.3,89.33361083,18.8,25.9,8.722473372
18117,Orange County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20127,Morris County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21021,Boyle County,Kentucky,9.5,65.59510411,17.6,19.6,7.334436613
22127,Winn Parish,Louisiana,9.5,78.9786456,21.2,21.8,5.615333592
27109,Olmsted County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29167,Polk County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39045,Fairfield County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40041,Delaware County,Oklahoma,10.7,41.56964832,28.7,29.2,9.260803178
48299,Llano County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48481,Wharton County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51840,Winchester city,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
55129,Washburn County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
54071,Pendleton County,West Virginia,10.2,87.48538012,24.7,30.3,20.36322589
17055,Franklin County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18063,Hendricks County,Indiana,9.3,67.82286453,18.1,29.7,6.977471219
36037,Genesee County,New York,10.5,55.67502788,28.5,31.3,1.545612167
12053,Hernando County,Florida,10,76.2799662,27,31.8,12.33898567
37043,Clay County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
72079,Lajas Municipio,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48011,Armstrong County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48451,Tom Green County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51081,Greensville County,Virginia,9.1,10.99403741,17.4,18.5,0.250417682
56027,Niobrara County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8009,Baca County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13111,Fannin County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26009,Antrim County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29127,Marion County,Missouri,9,64.61207046,28.7,29.7,6.747716644
31061,Franklin County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37029,Camden County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
