COUNTYFIPS,NAMELSAD,Latitude,Lng,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities,Physical Inactivity Percentage,Obesity Percentage,Limited Access To Healthy Foods
49047,Uintah County,40.1248,-109.5186,Utah,10.8,55.18595802,20.3,35.3,8.280204147
13081,Crisp County,31.9229,-83.7681,Georgia,9.6,31.03374717,20.9,24.2,3.499778687
39141,Ross County,39.3376,-83.057,Ohio,12.5,63.25579012,29.1,37.2,5.622649285
21053,Clinton County,36.7274,-85.1362,Kentucky,9,7.564252336,26.8,27.6,1.091459718
19185,Wayne County,40.7395,-93.3274,Iowa,10.6,35.04607215,22.1,33.5,16.89705536
12049,Hardee County,27.4927,-81.81,Florida,12.3,56.07803541,33.1,38.9,13.02270688
39157,Tuscarawas County,40.4409,-81.4738,Ohio,8.9,63.60199607,21.3,33.5,3.03601533
39165,Warren County,39.4277,-84.1668,Ohio,9,83.06573324,18.3,25.7,6.104115174
39175,Wyandot County,40.8424,-83.3044,Ohio,9.4,41.80853416,20.9,27.8,1.694714102
48469,Victoria County,28.7964,-96.9715,Texas,10.2,73.18562557,21.7,29,8.857323876
13231,Pike County,33.0923,-84.3892,Georgia,9,33.7903632,19.1,22.9,0.00517053
18163,Vanderburgh County,38.0249,-87.5859,Indiana,9.5,79.7182017,26.1,32.1,11.61401195
39003,Allen County,40.7715,-84.1058,Ohio,10.5,73.51101748,25.1,33.9,4.00237354
38067,Pembina County,48.7675,-97.5518,North Dakota,10.6,57.64198031,25.4,34.2,8.28656598
29177,Ray County,39.3523,-93.9899,Missouri,9.3,37.92883289,21,24.3,2.137694015
5099,Nevada County,33.664,-93.3072,Arkansas,9.6,30.91030343,20.9,24.2,27.36228135
20173,Sedgwick County,37.6848,-97.461,Kansas,10.7,83.66980025,23.4,33,9.397313404
1021,Chilton County,32.8479,-86.7188,Alabama,14.4,40.18513851,30,38.6,4.369551511
1037,Coosa County,32.9362,-86.2477,Alabama,9.5,4.211803449,16.8,23.8,7.717219236
